,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
66,SARS-CoV-2-XBB-N,IFNlambda1,SARS-CoV-2-XBB-N__IFNlambda1,1,./results/SARS-CoV-2-XBB-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-XBB-N__IFNlambda1_162w.pdb,6,-84.23,2.31,-52.79,2.91,-314.38,20.66,3522.24,202.3,22.459,3.482,58.17,0.0,0.0,0.0,2519.313,137.871,259.016,17.428,-11.1,7.4e-09
67,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNgamma,SARS-CoV-2-B.1.617.2-DeltaA-N__IFNgamma,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNgamma_30w.pdb,4,-90.85,13.77,-55.38,14.43,-354.65,7.05,3254.65,82.1,19.379,2.222,55.75,0.0,0.0,0.0,2654.025,392.288,218.531,16.711,-12.3,9.5e-10
68,SARS-CoV-2-BA.4-N,CCL21,SARS-CoV-2-BA.4-N__CCL21,6,./results/SARS-CoV-2-BA.4-N__CCL21/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL21_151w.pdb,2,-98.56,2.01,-70.38,5.83,-281.81,78.41,2974.33,249.08,36.434,5.444,50.0,0.0,0.0,0.0,2913.195,229.895,207.123,29.318,-14.1,4.4e-11
69,SARS-CoV-2-BA.4-N,CXCL6,SARS-CoV-2-BA.4-N__CXCL6,3,./results/SARS-CoV-2-BA.4-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL6_101w.pdb,5,-99.78,13.54,-77.65,14.87,-221.34,66.92,2775.94,163.37,11.257,4.32,46.0,0.0,0.0,0.0,2893.718,353.366,166.936,24.042,-15.5,4e-12
70,BANAL-20-52-N,CCL24,BANAL-20-52-N__CCL24,1,./results/BANAL-20-52-N__CCL24/run1/structures/it1/water/BANAL-20-52-N__CCL24_19w.pdb,5,-83.98,8.0,-70.27,7.4,-137.09,18.56,3072.02,186.58,3.837,4.067,52.8,0.0,0.0,0.0,2437.426,132.99,213.347,25.974,-12.7,4.8e-10
71,SARS-CoV-2-B.1.1-N,IFNgamma,SARS-CoV-2-B.1.1-N__IFNgamma,4,./results/SARS-CoV-2-B.1.1-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IFNgamma_175w.pdb,4,-120.9,6.94,-77.73,9.63,-431.65,57.31,3103.83,125.0,31.288,1.734,53.75,0.0,0.0,0.0,2866.838,166.84,177.606,20.394,-11.6,3.3e-09
72,SARS-CoV-2-BA.4-N,CCL14,SARS-CoV-2-BA.4-N__CCL14,3,./results/SARS-CoV-2-BA.4-N__CCL14/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL14_69w.pdb,5,-101.87,6.61,-82.43,5.92,-194.39,33.6,3187.45,186.2,0.451,2.59,52.6,0.0,0.0,0.0,2521.446,136.945,197.891,22.763,-13.2,2.1e-10
73,SARS-CoV-2-BQ.1-N,CXCL6,SARS-CoV-2-BQ.1-N__CXCL6,6,./results/SARS-CoV-2-BQ.1-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL6_175w.pdb,6,-80.38,11.71,-70.1,9.42,-102.87,24.44,3237.65,132.59,-11.887,4.145,57.0,0.0,0.0,0.0,2355.768,144.228,215.08,11.165,-12.7,4.6e-10
74,SARS-CoV-2-BA.1.1-N,CCL19,SARS-CoV-2-BA.1.1-N__CCL19,5,./results/SARS-CoV-2-BA.1.1-N__CCL19/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL19_179w.pdb,4,-90.76,5.49,-64.3,7.73,-264.63,33.31,2818.2,148.44,8.889,6.916,43.25,0.0,0.0,0.0,2372.38,158.71,173.482,18.94,-12.0,1.5e-09
75,SARS-CoV-2-B.1.351-N,CXCL13,SARS-CoV-2-B.1.351-N__CXCL13,7,./results/SARS-CoV-2-B.1.351-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL13_71w.pdb,4,-102.53,5.1,-83.03,5.02,-194.99,31.57,3059.68,143.38,3.325,2.499,48.25,0.0,0.0,0.0,2637.347,53.666,187.269,18.924,-12.0,1.6e-09
76,SARS-CoV-N,CCL21,SARS-CoV-N__CCL21,3,./results/SARS-CoV-N__CCL21/run1/structures/it1/water/SARS-CoV-N__CCL21_85w.pdb,4,-112.95,10.84,-65.01,9.56,-479.41,61.59,2788.01,173.25,37.504,3.706,50.5,0.0,0.0,0.0,2965.113,156.316,155.417,21.402,-13.0,3.1e-10
77,SARS-CoV-2-BA.4-N,CCL3,SARS-CoV-2-BA.4-N__CCL3,8,./results/SARS-CoV-2-BA.4-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL3_195w.pdb,8,-120.38,8.93,-85.69,8.59,-346.97,45.94,2735.72,125.23,22.075,5.193,45.5,0.0,0.0,0.0,2700.387,123.986,140.568,19.543,-15.1,8.1e-12
78,SARS-CoV-2-B.1.1.7-N,CXCL13,SARS-CoV-2-B.1.1.7-N__CXCL13,3,./results/SARS-CoV-2-B.1.1.7-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL13_137w.pdb,5,-101.07,7.32,-56.86,9.15,-442.01,26.55,2975.42,100.94,32.068,4.795,49.4,0.0,0.0,0.0,2674.542,248.752,184.343,13.348,-11.0,8.7e-09
79,OC43-N,CXCL6,OC43-N__CXCL6,1,./results/OC43-N__CXCL6/run1/structures/it1/water/OC43-N__CXCL6_144w.pdb,5,-99.3,9.27,-72.88,9.99,-264.23,9.66,3341.73,138.14,16.999,4.107,51.6,0.0,0.0,0.0,2740.128,181.216,225.446,15.447,-13.2,2e-10
80,SARS-CoV-2-BA.4-N,IFNlambda1,SARS-CoV-2-BA.4-N__IFNlambda1,3,./results/SARS-CoV-2-BA.4-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IFNlambda1_4w.pdb,5,-131.75,17.32,-83.11,10.78,-486.44,90.17,3571.91,355.18,15.795,0.578,60.6,0.0,0.0,0.0,3214.744,267.78,192.589,56.375,-16.9,3.8e-13
81,SARS-CoV-2-BA.1.1-N,CX3CL1,SARS-CoV-2-BA.1.1-N__CX3CL1,11,./results/SARS-CoV-2-BA.1.1-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CX3CL1_161w.pdb,2,-86.51,0.04,-70.84,0.01,-156.78,0.31,5617.88,40.88,20.0,1.011,85.5,0.0,0.0,0.0,2125.245,15.995,479.595,5.031,-10.0,4.7e-08
82,SARS-CoV-2-P.1-N,CXCL5,SARS-CoV-2-P.1-N__CXCL5,3,./results/SARS-CoV-2-P.1-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL5_24w.pdb,5,-104.92,8.47,-71.61,8.9,-333.14,15.2,2614.01,278.39,19.284,3.665,45.4,0.0,0.0,0.0,2743.096,131.42,142.452,26.973,-11.5,3.6e-09
83,SARS-CoV-2-BA.4-N,CCL7,SARS-CoV-2-BA.4-N__CCL7,9,./results/SARS-CoV-2-BA.4-N__CCL7/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL7_107w.pdb,4,-123.81,23.34,-90.31,13.96,-335.03,97.66,2901.22,58.04,11.292,2.871,46.75,0.0,0.0,0.0,3361.108,326.869,144.095,29.54,-14.8,1.3e-11
84,RaTG13-N,CCL11,RaTG13-N__CCL11,1,./results/RaTG13-N__CCL11/run1/structures/it1/water/RaTG13-N__CCL11_84w.pdb,7,-106.97,10.15,-83.97,11.69,-230.0,34.68,2857.9,138.12,7.624,7.297,45.0,0.0,0.0,0.0,2909.496,128.979,163.448,24.986,-14.3,3.2e-11
85,BANAL-20-52-N,CCL4L1,BANAL-20-52-N__CCL4L1,8,./results/BANAL-20-52-N__CCL4L1/run1/structures/it1/water/BANAL-20-52-N__CCL4L1_199w.pdb,5,-111.85,19.45,-86.53,18.32,-253.18,41.23,2857.41,80.51,-7.865,3.646,45.8,0.0,0.0,0.0,2727.53,249.605,140.707,21.186,-15.2,7.3e-12
86,SARS-CoV-2-B.1.1-N,CCL4,SARS-CoV-2-B.1.1-N__CCL4,5,./results/SARS-CoV-2-B.1.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL4_144w.pdb,4,-100.59,13.01,-64.47,14.47,-361.28,38.98,3204.97,64.79,13.685,3.3,53.5,0.0,0.0,0.0,2419.58,167.11,197.462,19.966,-12.5,6.6e-10
87,SARS-CoV-2-XBB-N,CCL14,SARS-CoV-2-XBB-N__CCL14,6,./results/SARS-CoV-2-XBB-N__CCL14/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL14_140w.pdb,4,-113.44,14.16,-86.49,14.11,-269.49,23.99,2799.15,137.88,-2.0,4.965,45.25,0.0,0.0,0.0,2702.488,352.326,137.531,19.721,-12.9,3.6e-10
88,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL5,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL5_9w.pdb,8,-88.23,12.78,-70.53,12.64,-177.05,82.39,2737.47,193.09,-3.258,4.999,42.88,0.0,0.0,0.0,2215.719,317.329,164.553,30.178,-14.5,2.2e-11
89,RaTG13-N,CCL19,RaTG13-N__CCL19,5,./results/RaTG13-N__CCL19/run1/structures/it1/water/RaTG13-N__CCL19_133w.pdb,4,-106.54,9.02,-79.95,7.72,-265.84,26.78,2887.59,115.86,21.018,1.53,50.5,0.0,0.0,0.0,2961.895,80.949,176.654,12.73,-15.7,3e-12
90,SARS-CoV-2-WA1-N,CXCL16,SARS-CoV-2-WA1-N__CXCL16,8,./results/SARS-CoV-2-WA1-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL16_58w.pdb,2,-78.76,4.33,-53.89,5.33,-248.75,9.94,4002.81,199.78,20.271,1.289,61.5,0.0,0.0,0.0,2407.83,34.16,316.916,22.029,-9.0,2.4e-07
91,SARS-CoV-2-B.1.1.7-N,CCL26,SARS-CoV-2-B.1.1.7-N__CCL26,1,./results/SARS-CoV-2-B.1.1.7-N__CCL26/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL26_69w.pdb,7,-101.34,8.77,-74.64,8.65,-267.09,28.55,2905.39,86.91,23.374,4.507,47.43,0.0,0.0,0.0,2575.784,55.146,185.858,10.772,-12.8,4.1e-10
92,SARS-CoV-2-B.1.617.2-DeltaA-N,IL6,SARS-CoV-2-B.1.617.2-DeltaA-N__IL6,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL6/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL6_195w.pdb,8,-98.5,3.43,-68.55,5.47,-299.45,60.08,3505.12,210.24,25.401,4.98,60.62,0.0,0.0,0.0,2406.367,80.732,247.471,21.7,-9.6,8.6e-08
93,SARS-CoV-2-XBB-N,CX3CL1,SARS-CoV-2-XBB-N__CX3CL1,3,./results/SARS-CoV-2-XBB-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CX3CL1_175w.pdb,2,-97.42,8.13,-60.62,7.54,-367.93,5.95,6029.8,112.35,20.935,3.384,92.0,0.0,0.0,0.0,2703.915,21.095,489.705,5.894,-11.0,9e-09
94,BANAL-20-52-N,CCL26,BANAL-20-52-N__CCL26,3,./results/BANAL-20-52-N__CCL26/run1/structures/it1/water/BANAL-20-52-N__CCL26_196w.pdb,5,-104.34,14.24,-80.3,12.9,-240.34,100.2,3140.77,96.75,-10.016,5.189,47.2,0.0,0.0,0.0,2595.54,178.39,175.69,23.09,-13.1,2.6e-10
95,SARS-CoV-2-P.1-N,CCL2,SARS-CoV-2-P.1-N__CCL2,3,./results/SARS-CoV-2-P.1-N__CCL2/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL2_114w.pdb,4,-85.84,12.35,-63.08,12.06,-227.68,29.83,3115.71,154.28,19.718,2.718,48.5,0.0,0.0,0.0,2329.755,145.992,222.676,12.08,-7.9,1.7e-06
96,SARS-CoV-2-BA.4-N,IFNbeta,SARS-CoV-2-BA.4-N__IFNbeta,2,./results/SARS-CoV-2-BA.4-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-BA.4-N__IFNbeta_84w.pdb,4,-104.94,2.63,-62.51,3.26,-424.31,8.0,3128.63,172.81,32.573,1.607,49.5,0.0,0.0,0.0,2638.65,23.188,198.069,16.949,-9.4,1.3e-07
97,SARS-CoV-2-P.1-N,CCL8,SARS-CoV-2-P.1-N__CCL8,1,./results/SARS-CoV-2-P.1-N__CCL8/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL8_191w.pdb,4,-92.77,10.4,-69.14,7.63,-236.3,33.68,2931.32,310.83,14.739,2.178,49.25,0.0,0.0,0.0,2425.003,175.762,191.476,31.587,-10.1,3.6e-08
98,SARS-CoV-2-B.1.1.7-N,IL-1beta,SARS-CoV-2-B.1.1.7-N__IL-1beta,1,./results/SARS-CoV-2-B.1.1.7-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-1beta_89w.pdb,6,-93.85,12.65,-63.38,11.13,-304.72,19.07,3224.76,180.91,22.173,2.21,52.83,0.0,0.0,0.0,2400.093,254.132,220.33,17.925,-12.6,5.7e-10
99,SARS-CoV-2-B.1.351-N,CXCL3,SARS-CoV-2-B.1.351-N__CXCL3,1,./results/SARS-CoV-2-B.1.351-N__CXCL3/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL3_156w.pdb,15,-100.11,13.89,-75.2,14.34,-249.07,41.5,2977.94,109.62,9.511,4.488,50.27,0.0,0.0,0.0,2737.682,149.927,182.291,20.187,-12.0,1.5e-09
100,BANAL-20-52-N,IL-18,BANAL-20-52-N__IL-18,3,./results/BANAL-20-52-N__IL-18/run1/structures/it1/water/BANAL-20-52-N__IL-18_85w.pdb,4,-81.79,8.3,-38.64,5.71,-431.49,26.93,3457.93,149.73,22.688,1.599,57.0,0.0,0.0,0.0,2153.6,65.725,243.543,8.312,-8.1,1.1e-06
101,SARS-CoV-2-B.1.351-N,INFA2,SARS-CoV-2-B.1.351-N__INFA2,4,./results/SARS-CoV-2-B.1.351-N__INFA2/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__INFA2_12w.pdb,5,-97.21,24.85,-60.9,16.36,-363.07,96.45,3308.09,232.31,9.293,1.949,54.8,0.0,0.0,0.0,2678.718,537.142,206.588,54.857,-13.3,1.8e-10
102,SARS-CoV-2-BA.1.1-N,CCL3,SARS-CoV-2-BA.1.1-N__CCL3,3,./results/SARS-CoV-2-BA.1.1-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL3_109w.pdb,7,-120.88,7.96,-80.39,7.83,-404.8,26.05,2756.03,276.22,23.519,4.699,44.0,0.0,0.0,0.0,2672.274,124.907,137.768,27.565,-14.9,1.2e-11
103,SARS-CoV-2-B.1.1.529-N,IL-1beta,SARS-CoV-2-B.1.1.529-N__IL-1beta,1,./results/SARS-CoV-2-B.1.1.529-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-1beta_162w.pdb,5,-94.77,8.21,-66.36,7.11,-284.09,39.49,3238.66,151.9,13.057,3.941,53.6,0.0,0.0,0.0,2421.89,120.063,213.741,9.649,-11.8,2.4e-09
104,SARS-CoV-2-B.1.1-N,INFbeta,SARS-CoV-2-B.1.1-N__INFbeta,3,./results/SARS-CoV-2-B.1.1-N__INFbeta/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__INFbeta_38w.pdb,4,-89.72,12.11,-75.3,14.7,-144.22,27.34,3398.22,279.86,7.087,1.036,54.5,0.0,0.0,0.0,2312.323,134.065,242.764,34.258,-10.5,1.8e-08
105,BANAL-20-52-N,CCL15,BANAL-20-52-N__CCL15,5,./results/BANAL-20-52-N__CCL15/run1/structures/it1/water/BANAL-20-52-N__CCL15_29w.pdb,4,-109.72,9.54,-72.71,6.27,-370.13,43.51,3001.69,182.6,16.466,4.28,51.75,0.0,0.0,0.0,2674.312,94.863,169.903,27.524,-13.5,1.3e-10
106,SARS-CoV-2-WA1-N,CXCL9,SARS-CoV-2-WA1-N__CXCL9,11,./results/SARS-CoV-2-WA1-N__CXCL9/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL9_115w.pdb,2,-102.48,31.54,-74.38,24.61,-280.99,69.34,3123.72,76.8,15.352,4.486,49.0,0.0,0.0,0.0,2766.255,552.835,197.142,50.638,-13.3,1.8e-10
107,SARS-CoV-2-XBB-N,TNFbeta,SARS-CoV-2-XBB-N__TNFbeta,3,./results/SARS-CoV-2-XBB-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-XBB-N__TNFbeta_165w.pdb,5,-82.91,14.02,-66.12,18.39,-167.83,49.24,3332.5,71.41,-13.361,4.55,57.6,0.0,0.0,0.0,2626.156,306.269,233.328,12.599,-11.5,3.4e-09
108,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL5,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5,4,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL5_99w.pdb,5,-131.57,16.85,-104.83,16.75,-267.36,38.74,2621.25,52.72,-3.277,3.026,47.2,0.0,0.0,0.0,3126.784,297.517,100.542,15.703,-12.8,3.9e-10
109,SARS-CoV-2-B.1.1.529-N,CCL1,SARS-CoV-2-B.1.1.529-N__CCL1,3,./results/SARS-CoV-2-B.1.1.529-N__CCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL1_168w.pdb,4,-74.54,2.7,-50.54,3.18,-239.97,21.0,3220.02,91.85,22.113,1.482,50.5,0.0,0.0,0.0,1862.362,100.97,245.579,8.896,-9.2,1.7e-07
110,SARS-CoV-2-P.1-N,CCL1,SARS-CoV-2-P.1-N__CCL1,1,./results/SARS-CoV-2-P.1-N__CCL1/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL1_141w.pdb,5,-93.47,13.52,-69.33,10.9,-241.43,28.56,3341.88,95.89,3.88,1.918,51.0,0.0,0.0,0.0,2107.02,283.707,220.456,26.337,-13.2,2.3e-10
111,SARS-CoV-N,CCL8,SARS-CoV-N__CCL8,5,./results/SARS-CoV-N__CCL8/run1/structures/it1/water/SARS-CoV-N__CCL8_117w.pdb,4,-104.09,19.59,-71.78,10.89,-323.06,95.57,2895.15,181.09,19.705,3.173,48.25,0.0,0.0,0.0,2558.442,222.07,172.826,20.494,-10.3,2.7e-08
112,SARS-CoV-N,CCL14,SARS-CoV-N__CCL14,3,./results/SARS-CoV-N__CCL14/run1/structures/it1/water/SARS-CoV-N__CCL14_7w.pdb,4,-100.19,16.21,-76.09,5.88,-241.01,103.62,2705.38,150.53,2.336,3.985,43.5,0.0,0.0,0.0,2547.885,264.968,148.583,25.719,-15.0,9.5e-12
113,SARS-CoV-2-XBB-N,INFA2,SARS-CoV-2-XBB-N__INFA2,4,./results/SARS-CoV-2-XBB-N__INFA2/run1/structures/it1/water/SARS-CoV-2-XBB-N__INFA2_140w.pdb,4,-76.33,1.81,-52.64,1.89,-236.86,3.04,3330.49,99.68,17.052,0.9,59.0,0.0,0.0,0.0,2347.065,4.908,250.086,9.505,-11.5,3.6e-09
114,SARS-CoV-2-B.1.1-N,IL-18,SARS-CoV-2-B.1.1-N__IL-18,3,./results/SARS-CoV-2-B.1.1-N__IL-18/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL-18_72w.pdb,4,-100.19,7.69,-61.37,1.22,-388.27,67.55,3180.24,163.15,22.744,5.748,53.0,0.0,0.0,0.0,2417.033,45.496,201.747,29.645,-12.1,1.4e-09
115,BANAL-20-52-N,CCL19,BANAL-20-52-N__CCL19,1,./results/BANAL-20-52-N__CCL19/run1/structures/it1/water/BANAL-20-52-N__CCL19_1w.pdb,7,-127.15,13.73,-89.54,14.69,-376.09,63.26,2643.58,256.08,25.638,4.498,48.14,0.0,0.0,0.0,3185.403,226.27,125.238,32.993,-15.6,3.6e-12
116,SARS-CoV-2-WA1-N,IL-6Ralpha,SARS-CoV-2-WA1-N__IL-6Ralpha,8,./results/SARS-CoV-2-WA1-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-6Ralpha_116w.pdb,2,-93.53,0.4,-53.34,0.64,-401.89,2.4,5978.14,14.4,19.967,1.548,94.5,0.0,0.0,0.0,2710.135,14.685,484.062,0.268,-8.9,2.9e-07
117,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL2,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL2_102w.pdb,6,-103.67,13.09,-77.05,10.37,-266.22,33.21,2954.69,144.04,16.8,4.117,47.0,0.0,0.0,0.0,2791.407,234.92,181.972,24.385,-10.8,1.2e-08
118,SARS-CoV-2-WA1-N,IFNbeta,SARS-CoV-2-WA1-N__IFNbeta,8,./results/SARS-CoV-2-WA1-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNbeta_40w.pdb,4,-78.71,3.02,-62.85,4.42,-158.62,14.91,3352.75,122.62,-1.361,0.363,55.0,0.0,0.0,0.0,2431.745,86.231,239.345,13.686,-8.0,1.4e-06
119,SARS-CoV-2-B.1.1.7-N,IL-1alpha,SARS-CoV-2-B.1.1.7-N__IL-1alpha,1,./results/SARS-CoV-2-B.1.1.7-N__IL-1alpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-1alpha_142w.pdb,4,-79.83,3.06,-69.37,2.21,-104.55,35.24,3457.14,319.98,5.04,1.264,54.5,0.0,0.0,0.0,2197.283,37.761,260.474,36.321,-11.6,2.9e-09
120,SARS-CoV-2-B.1.1.7-N,CXCL2,SARS-CoV-2-B.1.1.7-N__CXCL2,3,./results/SARS-CoV-2-B.1.1.7-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL2_27w.pdb,5,-95.84,5.11,-72.69,6.2,-231.43,43.47,2764.25,235.87,17.033,2.127,48.4,0.0,0.0,0.0,2811.296,105.81,174.478,24.217,-11.9,1.9e-09
121,SARS-CoV-2-B.1.1.7-N,CXCL7,SARS-CoV-2-B.1.1.7-N__CXCL7,7,./results/SARS-CoV-2-B.1.1.7-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL7_38w.pdb,4,-113.65,18.84,-71.22,22.21,-424.34,48.57,2733.23,206.6,25.916,1.471,51.25,0.0,0.0,0.0,3067.002,323.346,143.154,23.146,-13.6,9.9e-11
122,SARS-CoV-2-B.1.1.7-N,CXCL16,SARS-CoV-2-B.1.1.7-N__CXCL16,3,./results/SARS-CoV-2-B.1.1.7-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL16_198w.pdb,2,-69.62,4.73,-55.25,5.4,-143.66,6.66,4283.56,75.08,-2.254,4.807,68.0,0.0,0.0,0.0,2488.35,265.87,366.057,7.56,-9.4,1.4e-07
123,SARS-CoV-2-BA.1.1-N,CCL7,SARS-CoV-2-BA.1.1-N__CCL7,2,./results/SARS-CoV-2-BA.1.1-N__CCL7/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL7_16w.pdb,6,-115.41,9.77,-72.42,6.33,-429.88,73.14,2811.85,128.8,24.76,3.356,49.5,0.0,0.0,0.0,2966.173,192.05,147.549,11.959,-11.2,6.4e-09
124,SARS-CoV-2-BQ.1-N,IFNA2,SARS-CoV-2-BQ.1-N__IFNA2,4,./results/SARS-CoV-2-BQ.1-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IFNA2_28w.pdb,4,-105.7,15.22,-69.03,9.78,-366.67,63.15,3500.12,239.47,1.929,2.824,58.5,0.0,0.0,0.0,2753.312,294.49,209.571,43.172,-14.0,5e-11
125,SARS-CoV-2-BA.2-N,CXCL11,SARS-CoV-2-BA.2-N__CXCL11,8,./results/SARS-CoV-2-BA.2-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL11_71w.pdb,4,-108.09,18.72,-84.0,16.44,-240.91,23.79,2957.97,134.29,12.758,2.513,48.75,0.0,0.0,0.0,2635.15,424.487,176.378,23.375,-12.3,1e-09
126,SARS-CoV-2-BA.1.1-N,CCL4,SARS-CoV-2-BA.1.1-N__CCL4,6,./results/SARS-CoV-2-BA.1.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL4_166w.pdb,5,-94.96,9.26,-75.05,9.55,-199.1,19.95,2904.39,73.73,3.809,2.532,46.4,0.0,0.0,0.0,2064.684,151.301,179.377,10.291,-11.8,2.1e-09
127,SARS-CoV-2-BA.1.1-N,CXCL4,SARS-CoV-2-BA.1.1-N__CXCL4,5,./results/SARS-CoV-2-BA.1.1-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL4_198w.pdb,4,-115.17,11.4,-77.2,14.62,-379.73,49.42,2967.92,258.74,13.996,5.654,48.75,0.0,0.0,0.0,2897.793,254.536,157.647,15.52,-16.0,1.9e-12
128,SARS-CoV-2-BQ.1-N,CCL18,SARS-CoV-2-BQ.1-N__CCL18,1,./results/SARS-CoV-2-BQ.1-N__CCL18/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL18_153w.pdb,4,-69.08,13.2,-38.74,10.33,-303.4,56.75,2924.66,324.03,24.281,3.325,47.75,0.0,0.0,0.0,1803.172,169.08,217.321,30.037,-10.2,3.5e-08
129,SARS-CoV-2-B.1.351-N,CCL28,SARS-CoV-2-B.1.351-N__CCL28,2,./results/SARS-CoV-2-B.1.351-N__CCL28/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL28_9w.pdb,4,-116.11,20.25,-79.03,17.92,-370.87,65.81,2898.28,270.83,-2.562,4.071,46.25,0.0,0.0,0.0,2811.31,306.42,134.064,17.835,-12.2,1.1e-09
130,RaTG13-N,CCL13,RaTG13-N__CCL13,4,./results/RaTG13-N__CCL13/run1/structures/it1/water/RaTG13-N__CCL13_138w.pdb,4,-125.32,19.3,-88.76,15.54,-365.58,43.52,2710.02,121.4,24.351,3.866,46.25,0.0,0.0,0.0,3325.53,259.622,133.477,26.329,-14.4,2.6e-11
131,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL4,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL4,5,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL4_150w.pdb,4,-120.95,6.29,-89.32,5.71,-316.29,40.07,2859.17,221.28,10.868,2.3,47.25,0.0,0.0,0.0,2615.213,170.445,144.207,13.256,-15.1,8e-12
