experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
SARS-CoV-2-BA.4-N_CXCL8,SARS-CoV-2-BA.4-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL8_relaxed_model_2_multimer_v3_pred_4.pdb,-12,1.60E-09,-15.2707
BANAL-20-52-N_IL-27,BANAL-20-52-N,IL-27,./best_AF2_and_GDock/BANAL-20-52-N_IL-27_relaxed_model_4_multimer_v3_pred_2.pdb,-18.9,1.40E-14,-3.9579
SARS-CoV-2-B.1.351-N_CCL17,SARS-CoV-2-B.1.351-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL17_relaxed_model_4_multimer_v3_pred_1.pdb,-15.3,6.30E-12,-5.39472
SARS-CoV-2-BA.1.1-N_TNFbeta,SARS-CoV-2-BA.1.1-N,TNFbeta,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_TNFbeta_relaxed_model_3_multimer_v3_pred_1.pdb,-12.9,3.40E-10,-4.19702
SARS-CoV-2-B.1.1.7-N_CCL18,SARS-CoV-2-B.1.1.7-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL18_relaxed_model_3_multimer_v3_pred_4.pdb,-11.4,4.40E-09,-0.159033
SARS-CoV-N_CXCL14,SARS-CoV-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-N_CXCL14_relaxed_model_4_multimer_v3_pred_1.pdb,-7.9,1.70E-06,-2.61514
SARS-CoV-2-B.1.1-N_CXCL2,SARS-CoV-2-B.1.1-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-10.3,2.90E-08,-13.6531
SARS-CoV-2-WA1-N_CXCL4,SARS-CoV-2-WA1-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL4_relaxed_model_3_multimer_v3_pred_0.pdb,-13.4,1.50E-10,-12.1427
OC43-N_IL-6,OC43-N,IL-6,./best_AF2_and_GDock/OC43-N_IL-6_relaxed_model_3_multimer_v3_pred_2.pdb,-14.2,3.70E-11,-13.9015
SARS-CoV-2-B.1.1-N_IFNgamma,SARS-CoV-2-B.1.1-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNgamma_relaxed_model_5_multimer_v3_pred_1.pdb,-9.8,6.20E-08,-2.84606
SARS-CoV-2-XBB-N_CCL28,SARS-CoV-2-XBB-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL28_relaxed_model_4_multimer_v3_pred_4.pdb,-24.7,8.10E-19,1.25415
SARS-CoV-N_CCL14,SARS-CoV-N,CCL14,./best_AF2_and_GDock/SARS-CoV-N_CCL14_relaxed_model_3_multimer_v3_pred_0.pdb,-9,2.60E-07,0.659809
SARS-CoV-2-BA.4-N_CCL22,SARS-CoV-2-BA.4-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL22_relaxed_model_3_multimer_v3_pred_4.pdb,-10.2,3.40E-08,-3.61336
SARS-CoV-2-B.1.1.529-N_CXCL1,SARS-CoV-2-B.1.1.529-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL1_relaxed_model_2_multimer_v3_pred_1.pdb,-10,4.70E-08,-14.3565
SARS-CoV-2-BA.1.1-N_IL-27,SARS-CoV-2-BA.1.1-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-27_relaxed_model_2_multimer_v3_pred_0.pdb,-17.1,2.70E-13,6.15412
SARS-CoV-2-BA.4-N_CCL27,SARS-CoV-2-BA.4-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL27_relaxed_model_2_multimer_v3_pred_2.pdb,-12.2,1.00E-09,-11.7346
MERS-CoV-N_IL-1beta,MERS-CoV-N,IL-1beta,./best_AF2_and_GDock/MERS-CoV-N_IL-1beta_relaxed_model_3_multimer_v3_pred_1.pdb,-13.5,1.20E-10,0.39809
SARS-CoV-2-WA1-N_CXCL14,SARS-CoV-2-WA1-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL14_relaxed_model_3_multimer_v3_pred_2.pdb,-8.1,1.10E-06,4.46744
BANAL-20-52-N_CCL28,BANAL-20-52-N,CCL28,./best_AF2_and_GDock/BANAL-20-52-N_CCL28_relaxed_model_4_multimer_v3_pred_4.pdb,-16,2.00E-12,-1.15147
MERS-CoV-N_IL-12p70,MERS-CoV-N,IL-12p70,./best_AF2_and_GDock/MERS-CoV-N_IL-12p70_relaxed_model_4_multimer_v3_pred_0.pdb,-23.5,5.70E-18,-18.1803
SARS-CoV-2-B.1.1-N_IL-1beta,SARS-CoV-2-B.1.1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-1beta_relaxed_model_3_multimer_v3_pred_2.pdb,-9.2,1.70E-07,-0.341237
SARS-CoV-2-BA.2-N_CCL22,SARS-CoV-2-BA.2-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL22_relaxed_model_4_multimer_v3_pred_1.pdb,-11.7,2.50E-09,-2.95494
SARS-CoV-2-P.1-N_CCL18,SARS-CoV-2-P.1-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL18_relaxed_model_3_multimer_v3_pred_4.pdb,-12.9,3.30E-10,29.0475
SARS-CoV-2-WA1-N_CCL8,SARS-CoV-2-WA1-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL8_relaxed_model_2_multimer_v3_pred_1.pdb,-10.9,9.60E-09,3.45363
SARS-CoV-2-BA.1.1-N_IL-17a,SARS-CoV-2-BA.1.1-N,IL-17a,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-17a_relaxed_model_1_multimer_v3_pred_0.pdb,-14,5.10E-11,-0.243007
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-13,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-13_relaxed_model_3_multimer_v3_pred_3.pdb,-14.2,3.90E-11,1.479
SARS-CoV-2-B.1.351-N_CXCL12beta,SARS-CoV-2-B.1.351-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL12beta_relaxed_model_2_multimer_v3_pred_2.pdb,-15.5,4.20E-12,2.51337
BANAL-20-52-N_CCL4,BANAL-20-52-N,CCL4,./best_AF2_and_GDock/BANAL-20-52-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.9,3.30E-10,-23.7311
OC43-N_CXCL1,OC43-N,CXCL1,./best_AF2_and_GDock/OC43-N_CXCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-17.9,8.00E-14,2.69059
MERS-CoV-N_CCL21,MERS-CoV-N,CCL21,./best_AF2_and_GDock/MERS-CoV-N_CCL21_relaxed_model_1_multimer_v3_pred_1.pdb,-10,4.60E-08,3.64666
BANAL-20-52-N_CCL18,BANAL-20-52-N,CCL18,./best_AF2_and_GDock/BANAL-20-52-N_CCL18_relaxed_model_3_multimer_v3_pred_2.pdb,-12.3,8.90E-10,3.71263
SARS-CoV-2-P.1-N_IFNgamma,SARS-CoV-2-P.1-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IFNgamma_relaxed_model_3_multimer_v3_pred_1.pdb,-9.7,8.30E-08,-2.51536
SARS-CoV-2-BQ.1-N_CXCL4,SARS-CoV-2-BQ.1-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL4_relaxed_model_3_multimer_v3_pred_3.pdb,-12,1.50E-09,0.233346
SARS-CoV-2-B.1.1.529-N_IFNbeta,SARS-CoV-2-B.1.1.529-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IFNbeta_relaxed_model_1_multimer_v3_pred_1.pdb,-11.7,2.70E-09,-17.4461
SARS-CoV-2-BA.4-N_IL-12p70,SARS-CoV-2-BA.4-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-12p70_relaxed_model_4_multimer_v3_pred_0.pdb,-22.9,1.60E-17,4.93928
MERS-CoV-N_CXCL6,MERS-CoV-N,CXCL6,./best_AF2_and_GDock/MERS-CoV-N_CXCL6_relaxed_model_4_multimer_v3_pred_1.pdb,-10.5,2.00E-08,-29.3557
SARS-CoV-2-B.1.351-N_CCL1,SARS-CoV-2-B.1.351-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL1_relaxed_model_5_multimer_v3_pred_0.pdb,-10,4.80E-08,-6.46936
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3_relaxed_model_2_multimer_v3_pred_2.pdb,-15.2,6.60E-12,-13.9859
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_2.pdb,-12.2,1.10E-09,-14.3408
SARS-CoV-2-BA.2-N_IL-18,SARS-CoV-2-BA.2-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-18_relaxed_model_1_multimer_v3_pred_2.pdb,-12,1.50E-09,-1.15855
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL11,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL11_relaxed_model_4_multimer_v3_pred_3.pdb,-16.3,1.20E-12,-3.54517
RaTG13-N_CCL11,RaTG13-N,CCL11,./best_AF2_and_GDock/RaTG13-N_CCL11_relaxed_model_4_multimer_v3_pred_2.pdb,-12.2,1.10E-09,-7.00957
SARS-CoV-2-P.1-N_CXCL2,SARS-CoV-2-P.1-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL2_relaxed_model_4_multimer_v3_pred_4.pdb,-13.2,2.20E-10,-4.39647
SARS-CoV-N_CXCL8,SARS-CoV-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-N_CXCL8_relaxed_model_4_multimer_v3_pred_3.pdb,-12.5,6.60E-10,-13.7208
SARS-CoV-2-BA.1.1-N_IL-1alpha,SARS-CoV-2-BA.1.1-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_3.pdb,-12.5,7.40E-10,-7.06411
OC43-N_IL-13,OC43-N,IL-13,./best_AF2_and_GDock/OC43-N_IL-13_relaxed_model_3_multimer_v3_pred_2.pdb,-10.3,2.60E-08,-16.8461
RaTG13-N_CXCL11,RaTG13-N,CXCL11,./best_AF2_and_GDock/RaTG13-N_CXCL11_relaxed_model_4_multimer_v3_pred_4.pdb,-12.1,1.30E-09,-15.1893
SARS-CoV-2-BA.2-N_CCL27,SARS-CoV-2-BA.2-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL27_relaxed_model_2_multimer_v3_pred_3.pdb,-12.8,4.40E-10,-5.77658
SARS-CoV-N_IFNbeta,SARS-CoV-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-N_IFNbeta_relaxed_model_3_multimer_v3_pred_2.pdb,-13,2.80E-10,-17.7506
OC43-N_CCL23,OC43-N,CCL23,./best_AF2_and_GDock/OC43-N_CCL23_relaxed_model_2_multimer_v3_pred_2.pdb,-15.4,4.90E-12,-18.8285
SARS-CoV-2-BA.2-N_CXCL3,SARS-CoV-2-BA.2-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL3_relaxed_model_4_multimer_v3_pred_2.pdb,-13.8,7.40E-11,-16.3301
SARS-CoV-2-BA.2-N_CXCL5,SARS-CoV-2-BA.2-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-9,2.40E-07,-6.227
MERS-CoV-N_IFNomega,MERS-CoV-N,IFNomega,./best_AF2_and_GDock/MERS-CoV-N_IFNomega_relaxed_model_1_multimer_v3_pred_1.pdb,-12.3,9.80E-10,-16.3364
SARS-CoV-N_CCL4,SARS-CoV-N,CCL4,./best_AF2_and_GDock/SARS-CoV-N_CCL4_relaxed_model_3_multimer_v3_pred_3.pdb,-13.7,9.40E-11,-12.9304
SARS-CoV-2-P.1-N_IL-23,SARS-CoV-2-P.1-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-23_relaxed_model_3_multimer_v3_pred_4.pdb,-28.8,7.80E-22,-2.46842
SARS-CoV-2-P.1-N_IL-1alpha,SARS-CoV-2-P.1-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_0.pdb,-10.2,3.40E-08,-2.15524
SARS-CoV-2-B.1.1-N_CXCL11,SARS-CoV-2-B.1.1-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL11_relaxed_model_3_multimer_v3_pred_4.pdb,-16.2,1.20E-12,-25.2656
SARS-CoV-2-BA.4-N_CXCL12beta,SARS-CoV-2-BA.4-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL12beta_relaxed_model_4_multimer_v3_pred_3.pdb,-13.1,2.40E-10,-10.2055
OC43-N_IL-17a,OC43-N,IL-17a,./best_AF2_and_GDock/OC43-N_IL-17a_relaxed_model_2_multimer_v3_pred_4.pdb,-13.5,1.20E-10,-6.78338
BANAL-20-52-N_CCL26,BANAL-20-52-N,CCL26,./best_AF2_and_GDock/BANAL-20-52-N_CCL26_relaxed_model_3_multimer_v3_pred_3.pdb,-12.9,3.60E-10,-1.31382
SARS-CoV-2-B.1.1.529-N_CCL21,SARS-CoV-2-B.1.1.529-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL21_relaxed_model_4_multimer_v3_pred_2.pdb,-13.2,2.00E-10,-1.46276
SARS-CoV-2-BA.4-N_IL-6,SARS-CoV-2-BA.4-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-6_relaxed_model_4_multimer_v3_pred_4.pdb,-12.1,1.30E-09,-5.02442
SARS-CoV-N_CXCL3,SARS-CoV-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-N_CXCL3_relaxed_model_3_multimer_v3_pred_1.pdb,-14.7,1.60E-11,-13.0825
MERS-CoV-N_CCL28,MERS-CoV-N,CCL28,./best_AF2_and_GDock/MERS-CoV-N_CCL28_relaxed_model_4_multimer_v3_pred_1.pdb,-12.6,6.00E-10,-15.4104
SARS-CoV-2-B.1.1-N_CCL19,SARS-CoV-2-B.1.1-N,CCL19,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL19_relaxed_model_4_multimer_v3_pred_3.pdb,-11.6,3.10E-09,1.86873
SARS-CoV-2-BA.1.1-N_IFNA2,SARS-CoV-2-BA.1.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IFNA2_relaxed_model_4_multimer_v3_pred_1.pdb,-10.7,1.40E-08,-29.6046
MERS-CoV-N_CCL13,MERS-CoV-N,CCL13,./best_AF2_and_GDock/MERS-CoV-N_CCL13_relaxed_model_4_multimer_v3_pred_3.pdb,-14.1,4.80E-11,-4.60115
OC43-N_IL-27,OC43-N,IL-27,./best_AF2_and_GDock/OC43-N_IL-27_relaxed_model_1_multimer_v3_pred_0.pdb,-21.5,1.70E-16,-12.7997
SARS-CoV-2-BQ.1-N_CCL3L1,SARS-CoV-2-BQ.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-16.1,1.50E-12,-24.4974
MERS-CoV-N_IFNlambda1,MERS-CoV-N,IFNlambda1,./best_AF2_and_GDock/MERS-CoV-N_IFNlambda1_relaxed_model_4_multimer_v3_pred_0.pdb,-11.3,5.50E-09,-14.3771
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-12p70,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-12p70_relaxed_model_4_multimer_v3_pred_1.pdb,-23.2,9.60E-18,-5.66866
SARS-CoV-2-B.1.351-N_IL-18BP,SARS-CoV-2-B.1.351-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-18BP_relaxed_model_3_multimer_v3_pred_3.pdb,-12.1,1.20E-09,-5.29715
SARS-CoV-2-B.1.1.529-N_CCL11,SARS-CoV-2-B.1.1.529-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL11_relaxed_model_3_multimer_v3_pred_1.pdb,-10.3,2.70E-08,-4.96971
SARS-CoV-2-XBB-N_CXCL13,SARS-CoV-2-XBB-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL13_relaxed_model_3_multimer_v3_pred_4.pdb,-16.5,7.50E-13,-5.90775
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL17,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL17_relaxed_model_2_multimer_v3_pred_0.pdb,-10.6,1.70E-08,0.647819
SARS-CoV-2-WA1-N_CXCL12beta,SARS-CoV-2-WA1-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL12beta_relaxed_model_2_multimer_v3_pred_2.pdb,-11.9,2.00E-09,-2.76667
SARS-CoV-2-B.1.1-N_CX3CL1,SARS-CoV-2-B.1.1-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CX3CL1_relaxed_model_3_multimer_v3_pred_1.pdb,-13.8,7.40E-11,-9.47766
BANAL-20-52-N_CXCL6,BANAL-20-52-N,CXCL6,./best_AF2_and_GDock/BANAL-20-52-N_CXCL6_relaxed_model_3_multimer_v3_pred_4.pdb,-8.8,3.40E-07,-13.3131
SARS-CoV-2-BA.2-N_CCL5,SARS-CoV-2-BA.2-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL5_relaxed_model_3_multimer_v3_pred_1.pdb,-10.7,1.50E-08,-0.107263
SARS-CoV-2-BA.1.1-N_CCL21,SARS-CoV-2-BA.1.1-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL21_relaxed_model_4_multimer_v3_pred_0.pdb,-14.1,4.80E-11,2.34324
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL4,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL4_relaxed_model_4_multimer_v3_pred_3.pdb,-13.2,2.10E-10,-22.3855
OC43-N_CXCL4,OC43-N,CXCL4,./best_AF2_and_GDock/OC43-N_CXCL4_relaxed_model_4_multimer_v3_pred_0.pdb,-13.8,7.00E-11,-9.83655
SARS-CoV-2-BA.1.1-N_CCL2,SARS-CoV-2-BA.1.1-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL2_relaxed_model_3_multimer_v3_pred_3.pdb,-14.8,1.30E-11,-8.9881
SARS-CoV-2-WA1-N_CCL15,SARS-CoV-2-WA1-N,CCL15,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL15_relaxed_model_4_multimer_v3_pred_0.pdb,-19.2,8.90E-15,6.90024
SARS-CoV-N_CCL25,SARS-CoV-N,CCL25,./best_AF2_and_GDock/SARS-CoV-N_CCL25_relaxed_model_4_multimer_v3_pred_1.pdb,-14.8,1.30E-11,-19.1807
SARS-CoV-2-BA.4-N_CCL1,SARS-CoV-2-BA.4-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL1_relaxed_model_3_multimer_v3_pred_1.pdb,-17.8,9.40E-14,-1.9889
SARS-CoV-2-P.1-N_IL-13,SARS-CoV-2-P.1-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-13_relaxed_model_2_multimer_v3_pred_4.pdb,-10.9,1.00E-08,2.6825
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6Ralpha,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_3.pdb,-26,8.50E-20,-8.05692
SARS-CoV-2-B.1.1.529-N_IL-23,SARS-CoV-2-B.1.1.529-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-23_relaxed_model_3_multimer_v3_pred_1.pdb,-25.6,1.60E-19,0.0407114
SARS-CoV-2-B.1.351-N_XCL1,SARS-CoV-2-B.1.351-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_XCL1_relaxed_model_4_multimer_v3_pred_0.pdb,-15.4,5.00E-12,14.5652
SARS-CoV-2-B.1.1.529-N_IL-1alpha,SARS-CoV-2-B.1.1.529-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-1alpha_relaxed_model_5_multimer_v3_pred_2.pdb,-9,2.60E-07,-2.33159
SARS-CoV-N_CXCL16,SARS-CoV-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-N_CXCL16_relaxed_model_2_multimer_v3_pred_2.pdb,-12.2,1.10E-09,23.8967
SARS-CoV-2-BA.4-N_CXCL9,SARS-CoV-2-BA.4-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL9_relaxed_model_3_multimer_v3_pred_3.pdb,-9.9,5.30E-08,3.98355
MERS-CoV-N_CXCL5,MERS-CoV-N,CXCL5,./best_AF2_and_GDock/MERS-CoV-N_CXCL5_relaxed_model_4_multimer_v3_pred_3.pdb,-15.5,4.30E-12,-19.0976
SARS-CoV-2-BA.2-N_IL-27,SARS-CoV-2-BA.2-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-27_relaxed_model_2_multimer_v3_pred_1.pdb,-18.4,3.40E-14,6.52079
SARS-CoV-2-P.1-N_CCL3,SARS-CoV-2-P.1-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL3_relaxed_model_4_multimer_v3_pred_1.pdb,-13,3.00E-10,-21.1989
SARS-CoV-N_IL-13,SARS-CoV-N,IL-13,./best_AF2_and_GDock/SARS-CoV-N_IL-13_relaxed_model_3_multimer_v3_pred_3.pdb,-11.2,6.30E-09,-0.411159
RaTG13-N_CXCL7,RaTG13-N,CXCL7,./best_AF2_and_GDock/RaTG13-N_CXCL7_relaxed_model_1_multimer_v3_pred_1.pdb,-10.6,1.70E-08,-9.40282
SARS-CoV-2-B.1.1-N_IL-6Ralpha,SARS-CoV-2-B.1.1-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_0.pdb,-23.7,4.30E-18,-12.1438
SARS-CoV-2-B.1.1-N_CXCL7,SARS-CoV-2-B.1.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL7_relaxed_model_4_multimer_v3_pred_1.pdb,-10.2,3.20E-08,-8.8791
SARS-CoV-2-WA1-N_CCL1,SARS-CoV-2-WA1-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-9.5,1.10E-07,-1.53034
SARS-CoV-2-B.1.351-N_CXCL1,SARS-CoV-2-B.1.351-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL1_relaxed_model_3_multimer_v3_pred_2.pdb,-17.1,2.60E-13,-8.32005
SARS-CoV-2-BA.4-N_IFNlambda1,SARS-CoV-2-BA.4-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_0.pdb,-17.7,1.00E-13,-5.82966
OC43-N_CCL5,OC43-N,CCL5,./best_AF2_and_GDock/OC43-N_CCL5_relaxed_model_5_multimer_v3_pred_3.pdb,-15.6,3.80E-12,-11.2275
SARS-CoV-2-XBB-N_CXCL16,SARS-CoV-2-XBB-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL16_relaxed_model_2_multimer_v3_pred_1.pdb,-18.1,5.60E-14,-2.01316
SARS-CoV-2-WA1-N_IL-6Ralpha,SARS-CoV-2-WA1-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-6Ralpha_relaxed_model_5_multimer_v3_pred_4.pdb,-16.7,5.50E-13,-13.2493
SARS-CoV-2-B.1.1.529-N_CCL23,SARS-CoV-2-B.1.1.529-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL23_relaxed_model_5_multimer_v3_pred_1.pdb,-9.4,1.30E-07,-9.99349
SARS-CoV-2-B.1.351-N_CXCL11,SARS-CoV-2-B.1.351-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL11_relaxed_model_5_multimer_v3_pred_3.pdb,-12.1,1.40E-09,-18.1516
MERS-CoV-N_CXCL3,MERS-CoV-N,CXCL3,./best_AF2_and_GDock/MERS-CoV-N_CXCL3_relaxed_model_4_multimer_v3_pred_0.pdb,-9.6,9.50E-08,5.97798
SARS-CoV-2-P.1-N_CXCL11,SARS-CoV-2-P.1-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL11_relaxed_model_4_multimer_v3_pred_0.pdb,-11.7,2.50E-09,-16.4227
SARS-CoV-2-B.1.1.7-N_CCL7,SARS-CoV-2-B.1.1.7-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL7_relaxed_model_5_multimer_v3_pred_3.pdb,-9.9,5.40E-08,10.6629
SARS-CoV-N_CXCL12alpha,SARS-CoV-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-N_CXCL12alpha_relaxed_model_4_multimer_v3_pred_3.pdb,-14.3,3.30E-11,-8.28422
SARS-CoV-2-B.1.351-N_IL-1alpha,SARS-CoV-2-B.1.351-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_0.pdb,-10.2,3.40E-08,-4.69351
SARS-CoV-2-B.1.1-N_CXCL4,SARS-CoV-2-B.1.1-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL4_relaxed_model_3_multimer_v3_pred_4.pdb,-10,4.90E-08,-11.5396
SARS-CoV-2-BA.2-N_CCL13,SARS-CoV-2-BA.2-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL13_relaxed_model_4_multimer_v3_pred_1.pdb,-13.2,2.20E-10,-3.87396
SARS-CoV-2-BA.4-N_CCL19,SARS-CoV-2-BA.4-N,CCL19,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL19_relaxed_model_3_multimer_v3_pred_2.pdb,-13.7,9.20E-11,-3.63966
